company_name,uen_no,workhead,grade,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
1 BUILDER & RECYCLE PTE. LTD.,201401100H,CR03,Single Grade,na,1/7/2017,192,WATERLOO STREET,#06-03,SKYLINE BUILDING,187966,64089743
1 CHUAN PTE. LTD.,200610983D,CW01,C3,na,1/5/2019,1,YISHUN STREET 23,#06-06,YS-ONE,768441,67586512
1 CHUAN PTE. LTD.,200610983D,CR06,L1,na,1/5/2019,1,YISHUN STREET 23,#06-06,YS-ONE,768441,67586512
1 DESIGN PTE LTD,201400517Z,CR06,L1,na,1/9/2019,484D,CHOA CHU KANG AVENUE 5,#11 - 80,na,684484,68464301
1 WORKS PTE.  LTD.,201221602M,CR06,L1,na,1/7/2017,71,UBI CRESCENT,#06-07,EXCALIBUR CENTRE,408571,91629722
101 CONSTRUCTION PTE LTD,201617346W,TR09,Single Grade,na,1/8/2019,12,NORTH BRIDGE ROAD,#08-3956,GOLDEN BEACH VISTA,190012,97253966
101 ENVIRONMENTAL SERVICES PTE. LTD.,200907397Z,MW02,L2,na,1/9/2019,2,BALESTIER ROAD,#04-665,BALESTIER HILL SHOPPING CENTRE,320002,62822050
101 ENVIRONMENTAL SERVICES PTE. LTD.,200907397Z,MW04,L1,na,1/9/2019,2,BALESTIER ROAD,#04-665,BALESTIER HILL SHOPPING CENTRE,320002,62822050
1800NOPESTS PTE LTD,201222694E,MW04,L1,na,1/3/2018,9010,TAMPINES STREET 93,#02-93,na,528844,68586926
19-ANC ENTERPRISE PTE. LTD.,200700111C,CW01,C2,na,1/10/2019,4002,DEPOT LANE,#01-43,DEPOT LANE INDUSTRIAL ESTATE,109756,62730745
19-ANC ENTERPRISE PTE. LTD.,200700111C,CR09,L5,na,1/10/2019,4002,DEPOT LANE,#01-43,DEPOT LANE INDUSTRIAL ESTATE,109756,62730745
19-NS2 ENTERPRISE PTE LTD,201318102Z,CR09,L3,na,1/4/2018,4002,DEPOT LANE,#01-45,DEPOT LANE INDUSTRIAL ESTATE,109756,62730745
1ST SOLUTION GROUP PTE LTD,201602498W,ME04,L1,na,1/4/2019,625,ALJUNIED ROAD,#06-04,ALJUNIED INDUSTRIAL COMPLEX,389836,93689112
2002 ELEVATOR,52974524X,ME09,L1,na,1/6/2018,140,UPPER BUKIT TIMAH ROAD,#03-15,BEAUTY WORLD PLAZA,588176,64685505
2002 ELEVATOR,52974524X,RW02,Single Grade,na,1/6/2018,140,UPPER BUKIT TIMAH ROAD,#03-15,BEAUTY WORLD PLAZA,588176,64685505
21 SHUTTERS PTE. LTD.,200402960M,CR18,Single Grade,na,1/11/2019,3018,BEDOK NORTH STREET 5,#03-12,EASTLINK,486132,64452121
21A CONSTRUCTION PTE. LTD.,201308342C,CR01,Single Grade,na,1/4/2019,7030,ANG MO KIO AVENUE 5,#08-68,NORTHSTAR @ AMK,569880,67430368
21ST DECOR ENGINEERING PTE LTD,199905163C,CW01,C3,na,1/5/2017,1,SOON LEE STREET,#06-31,PIONEER CENTRE BUILDING,627605,67342322
21ST DECOR ENGINEERING PTE LTD,199905163C,CR09,L1,na,1/5/2017,1,SOON LEE STREET,#06-31,PIONEER CENTRE BUILDING,627605,67342322
23 TECHNOLOGIES PTE. LTD.,200600912E,ME04,L1,na,1/1/2019,3,LORONG BAKAR BATU,#02-01,BRIGHTWAY BUILDING,348741,68461901
265 HENG HUAT CONSTRUCTION PTE LTD,200816107N,CW01,C3,na,1/9/2017,20,WOODLANDS WALK,na,na,738391,68520265
2J METAL & ELECTRICAL ENGINEERING,53004817E,CR01,Single Grade,na,1/6/2019,9002,"TAMPINES STREET 93, TAMPINES INDUSTRIAL PARK A",#01-26,na,528836,67848107
2K BUILDER PTE LTD,198400907Z,CW01,C3,na,1/7/2017,50,BUKIT BATOK STREET 23,#05-26,MIDVIEW BUILDING,659578,63584333
2K BUILDER PTE LTD,198400907Z,CW02,C1,na,1/7/2017,50,BUKIT BATOK STREET 23,#05-26,MIDVIEW BUILDING,659578,63584333
2K INTERNATIONAL PTE. LTD.,200415190C,CW02,C3,na,1/7/2018,50,BUKIT BATOK STREET 23,#05-26,MIDVIEW BUILDING,659578,63584333
2K INTERNATIONAL PTE. LTD.,200415190C,CR03,Single Grade,na,1/7/2018,50,BUKIT BATOK STREET 23,#05-26,MIDVIEW BUILDING,659578,63584333
2LION ASSOCIATES PTE. LTD,201523986E,CR01,Single Grade,na,1/3/2019,29,MAYO STREET,#03-03,na,208315,90214453
2UE ENGINEERING PTE LTD,200004855W,ME06,L2,na,1/4/2017,113,EUNOS AVENUE 3,#07-09,GORDON INDUSTRIAL BUILDING,409838,68442586
3 ACE SERVICE AND TRADING,53095354D,ME12,L1,na,1/7/2017,123,BUKIT MERAH LANE 1,#04-84,na,150123,90215788
3 STAR ENGINEERING PTE. LTD.,201015957N,CR16,L1,na,1/10/2019,48,TOH GUAN ROAD EAST,#03-140,ENTERPRISE HUB,608586,65155220
3 STAR TECH ENGINEERING PTE. LTD.,200812570Z,ME02,L1,na,1/8/2017,190,WOODLANDS INDUSTRIAL PARK E5,#09-04,WOODLANDS BIZ HUB,757516,62804967
3-LINK ENGINEERING PTE. LTD.,200415109E,CW01,C3,na,1/11/2019,12,TANNERY ROAD,#08-05,HB CENTRE 1,347722,63565477
304 OCK ENGINEERING,53184923J,TR01,Single Grade,na,1/9/2019,53,53 Richards Place,na,na,546371,68580102
32 ENGINEERING PTE. LTD.,200803838W,ME05,L1,na,1/4/2017,196,PANDAN LOOP ,#06-29,PANTECH BUSINESS HUB,128384,91001168
37 RENOVATION CONTRACTOR,53078116J,CR06,L1,na,1/8/2017,3,KALLANG PUDDING ROAD,#03-00,na,349308,90087511
388 PTE. LTD.,201328419K,CW01,C3,na,1/1/2020,40,TOH GUAN ROAD EAST,#01-60,ENTERPRISE HUB,608582,63169891
388 PTE. LTD.,201328419K,CR06,L1,na,1/1/2020,40,TOH GUAN ROAD EAST,#01-60,ENTERPRISE HUB,608582,63169891
388 PTE. LTD.,201328419K,ME12,L3,na,1/1/2020,40,TOH GUAN ROAD EAST,#01-60,ENTERPRISE HUB,608582,63169891
3CELL PTE LTD,201401658M,ME04,L1,na,1/3/2017,5024,ANG MO KIO INDUSTRIAL PARK 2,#01-81,na,569527,98737355
3D NETWORKS SINGAPORE PTE LTD,200613312E,ME01,L1,na,1/6/2017,151,Lorong Chuan,#03-05,New Tech Park,556741,67236885
3D NETWORKS SINGAPORE PTE LTD,200613312E,ME04,L1,na,1/6/2017,151,Lorong Chuan,#03-05,New Tech Park,556741,67236885
3E BUILDER & PREFAB PTE LTD,201610276G,CR01,Single Grade,na,1/6/2019,451B,SENG KANG WEST WAY,#17-381,na,792451,64543953
3E POWER ENGINEERING PTE. LTD.,201109566H,ME05,L1,na,1/9/2017,1003,TOA PAYOH INDUSTRIAL PARK,#04-1525,na,319075,63541008
3E TELECOM PTE. LTD.,201209270R,ME08,L1,na,1/11/2017,8,UBI ROAD 2,#05-28,ZERVEX,408538,81261235
3E TELECOM PTE. LTD.,201209270R,SY05,L1,na,1/11/2017,8,UBI ROAD 2,#05-28,ZERVEX,408538,81261235
3F ENGINEERING & CONSTRUCTION PTE.LTD.,201601376Z,CR01,Single Grade,na,1/6/2019,1,SOPHIA ROAD,#04-26,PEACE CENTRE,228149,66945316
3GP SOLUTIONS PTE.LTD.,201609240M,ME01,L1,na,1/12/2019,26,HIGHGATE WALK,na,na,598766,65143228
3H AIRCONDITIONING & ENGINEERING PTE LTD,200201489Z,ME01,L2,na,1/9/2018,10,ADMIRALTY STREET,#04-78,NORTH LINK BUILDING,757695,64835702
3H DECOR PTE. LTD.,199801628H,CR06,L4,na,1/12/2017,17,MARSILING INDUSTRIAL ESTATE ROAD 1,#01-03,MARSILING INDUSTRIAL ESTATE,739279,68948944
3I TECHNOLOGIES PTE LTD,200403142H,ME04,L2,na,1/3/2018,26,BOON LAY WAY,#01-85,TRADEHUB 21,609970,62626455
3J CONSTRUCTION (S) PTE. LTD.,201014348H,CR06,L1,na,1/12/2017,21,WOODLAND'S CLOSE,#02-18,PRIMZ BIZHUB,737854,62542557
3J CONSTRUCTION (S) PTE. LTD.,201014348H,CR01,Single Grade,na,1/12/2017,21,WOODLAND'S CLOSE,#02-18,PRIMZ BIZHUB,737854,62542557
3M ENGINEERS PTE. LTD.,201438395R,ME11,L1,na,1/3/2018,81,GENTING LANE,#06-07C,EVERICH INDUSTRIAL BUILDING,349566,64555974
3M TECHNOLOGIES (S) PTE. LTD.,200202548H,SY05,L4,na,1/5/2019,1,YISHUN AVENUE 7,na,na,768923,64508888
3M TECHNOLOGIES (S) PTE. LTD.,200202548H,SY06,L1,na,1/5/2019,1,YISHUN AVENUE 7,na,na,768923,64508888
3R GROUP PTE LTD,201421942N,CR01,Single Grade,na,1/12/2017,605A,MACPHERSON ROAD,#03-06,CITIMAC INDUSTRIAL COMPLEX BLK A,368240,91761015
3R SYSTEMS PRIVATE LIMITED,201230172K,CW01,C3,na,1/6/2019,43,TECH PARK CRESCENT,na,na,637811,68634701
3R SYSTEMS PRIVATE LIMITED,201230172K,CW02,C3,na,1/6/2019,43,TECH PARK CRESCENT,na,na,637811,68634701
3S ENTERPRISES PTE. LTD.,201128230C,TR02,Single Grade,na,1/11/2018,89,SHORT STREET,#04-09,GOLDEN WALL CENTRE,188216,90909564
3S FACADE (SINGAPORE) PTE. LTD.,200812846K,CR16,L1,na,1/7/2019,31,BUKIT BATOK CRESCENT,#01-03,THE SPLENDOUR,658070,65673198
3SI PTE. LTD.,200617526R,ME04,L3,na,1/11/2017,20,SIN MING LANE,#07-58,MIDVIEW CITY,573968,62975343
3TEL INTERNATIONAL PTE. LTD.,201325873K,ME04,L1,na,1/12/2019,9,YISHUN INDUSTRIAL STREET 1,#04-77,NORTH SPRING BIZHUB,768163,65831334
3TEL INTERNATIONAL PTE. LTD.,201325873K,ME10,L1,na,1/12/2019,9,YISHUN INDUSTRIAL STREET 1,#04-77,NORTH SPRING BIZHUB,768163,65831334
3U CONSTRUCTION PTE. LTD.,200202406C,CR01,Single Grade,na,1/12/2017,1,SUNVIEW ROAD,#07-48,ECO-TECH@SUNVIEW,627615,62002728
3Z CONSTRUCTION PTE. LTD.,201505437R,CR06,L1,na,1/11/2019,101,UPPER CROSS STREET,#05-11,PEOPLE'S PARK CENTRE,58357,64257859
4 STARS CONSTRUCTION  PTE. LTD.,201414402C,CR01,Single Grade,na,1/8/2017,5001,BEACH ROAD,#08-31,GOLDEN MILE COMPLEX,199588,91444011
4-EVER ENGINEERING PTE. LTD.,201434935C,CR09,L1,na,1/7/2018,7030,ANG MO KIO AVENUE 5,#02-19,NORTHSTAR @ AMK,569880,62688834
42 DEGREES ASIA PTE. LTD.,201224031C,ME02,L1,na,1/2/2019,1,GENTING LINK,#02-01,PERFECT ONE,349518,67443086
42 DEGREES ASIA PTE. LTD.,201224031C,SY05,L2,na,1/2/2019,1,GENTING LINK,#02-01,PERFECT ONE,349518,67443086
4Z GLOBAL PTE. LTD.,201117206N,CR01,Single Grade,na,1/1/2017,1,SUNVIEW ROAD ,#06-44,ECO-TECH@ SUNVIEW,627615,64622602
4Z GLOBAL PTE. LTD.,201117206N,TR01,Single Grade,na,1/1/2017,1,SUNVIEW ROAD ,#06-44,ECO-TECH@ SUNVIEW,627615,64622602
5 AXIS PTE. LTD.,201608689D,CR06,L1,na,1/5/2019,2,RIFLE RANGE ROAD,#04-06,MAYFAIR GARDENS,588373,97282955
5 WAYS ENGINEERING SERVICES PTE. LTD.,201117735N,ME06,L4,na,1/1/2019,50,UBI AVENUE 3,#04-08,FRONTIER,408866,67491881
500 INTERNATIONAL PTE. LTD.,200305159G,ME11,L1,na,1/1/2018,514,CHAI CHEE LANE,#02-10,na,469029,64497131
619 PTE LTD,201302517H,CW01,C3,na,1/3/2018,10,ADMIRALTY STREET,#02-33,NORTHLINK BUILDING,757695,68536223
68 SYSTEMS & PROJECT ENGINEERING PTE LTD,199301790G,CW01,C3,na,1/7/2017,4010,ANG MO KIO AVENUE 10,#05-10,TECHPLACE 1,569626,64523433
68 SYSTEMS & PROJECT ENGINEERING PTE LTD,199301790G,CW02,C3,na,1/7/2017,4010,ANG MO KIO AVENUE 10,#05-10,TECHPLACE 1,569626,64523433
68 SYSTEMS & PROJECT ENGINEERING PTE LTD,199301790G,CR07,L2,na,1/7/2017,4010,ANG MO KIO AVENUE 10,#05-10,TECHPLACE 1,569626,64523433
68 SYSTEMS & PROJECT ENGINEERING PTE LTD,199301790G,ME04,L2,na,1/7/2017,4010,ANG MO KIO AVENUE 10,#05-10,TECHPLACE 1,569626,64523433
68 SYSTEMS & PROJECT ENGINEERING PTE LTD,199301790G,ME05,L2,na,1/7/2017,4010,ANG MO KIO AVENUE 10,#05-10,TECHPLACE 1,569626,64523433
68 SYSTEMS & PROJECT ENGINEERING PTE LTD,199301790G,ME08,L1,na,1/7/2017,4010,ANG MO KIO AVENUE 10,#05-10,TECHPLACE 1,569626,64523433
68 SYSTEMS & PROJECT ENGINEERING PTE LTD,199301790G,ME10,L2,na,1/7/2017,4010,ANG MO KIO AVENUE 10,#05-10,TECHPLACE 1,569626,64523433
68 SYSTEMS & PROJECT ENGINEERING PTE LTD,199301790G,CR01,Single Grade,na,1/7/2017,4010,ANG MO KIO AVENUE 10,#05-10,TECHPLACE 1,569626,64523433
6A ENGINEERING PTE. LTD.,201410938M,ME04,L1,na,1/1/2018,IMM,2 JURONG EAST STREET 21,#03-47,IMM BUILDING,609601,66658311
7 HILL INTERNATIONAL PTE.LTD,201402033C,ME01,L1,na,1/4/2018,69,UBI ROAD 1,#06-26,OXLEY BIZHUB,408731,83283977
72 PTE LTD,201328729G,CW01,C3,na,1/9/2019,9008,TAMPINES STREET 93,#02-07,TAMPINES INDUSTRIAL PARK A,528843,97100943
800 LANDSCAPE PTE. LTD.,200919664D,MW03,L3,na,1/5/2018,17A,SENOKO WAY,na,na,758056,67581712
800 SUPER WASTE MANAGEMENT PTE LTD,198601155H,CW01,C3,na,1/5/2017,17A,Senoko Way,na,na,758056,63663800
800 SUPER WASTE MANAGEMENT PTE LTD,198601155H,MW02,L6,na,1/5/2017,17A,Senoko Way,na,na,758056,63663800
800 SUPER WASTE MANAGEMENT PTE LTD,198601155H,MW03,L4,na,1/5/2017,17A,Senoko Way,na,na,758056,63663800
89 PRIVATE LIMITED,200922917Z,CW01,C2,na,1/6/2019,60,PAYA LEBAR ROAD,#10-37,PAYA LEBAR SQUARE,409051,64445351
89 PRIVATE LIMITED,200922917Z,CR06,L4,na,1/6/2019,60,PAYA LEBAR ROAD,#10-37,PAYA LEBAR SQUARE,409051,64445351
8CELLENCE PTE LTD,201525312W,CR09,L1,na,1/1/2019,1002,TOA PAYOH INDUSTRIAL PARK,#03-1423,na,319074,62503183
8CES PTE LTD,200003213C,CR09,L1,na,1/9/2018,1004,TOA PAYOH INDUSTRIAL PARK,#02-1483,na,319076,63533784
8KC CONSTRUCTION,53126548W,CR01,Single Grade,na,1/7/2017,354,Ang Mo Kio Street 32,#23-151,na,560354,64532632
96 UMICO ELECTRONIC PTE LTD,200618313W,ME04,L1,na,1/10/2018,BLK3016,BEDOK NORTH AVENUE 4,#02-12,EASTECH,489947,66358181
9G ELEVATOR PTE. LTD.,200309087N,ME09,L5,na,1/11/2018,8,Kallang Avenue,#07-01,Aperia Tower 1,339509,62837530
